# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 01:26:07 UTC,-1,0.73,0.00,7.58,0.00,0.00,0.00,1.96,0.00,0.00,89.73
raspberrypi,1,2020-07-25 01:26:08 UTC,-1,1.78,0.00,5.58,0.00,0.00,0.00,0.76,0.00,0.00,91.88
raspberrypi,1,2020-07-25 01:26:09 UTC,-1,0.80,0.00,3.71,0.00,0.00,0.00,0.27,0.00,0.00,95.23
raspberrypi,1,2020-07-25 01:26:10 UTC,-1,1.79,0.00,6.65,0.00,0.00,0.00,1.02,0.00,0.00,90.54
raspberrypi,1,2020-07-25 01:26:11 UTC,-1,0.77,0.00,4.85,0.00,0.00,0.00,0.26,0.00,0.00,94.13
raspberrypi,1,2020-07-25 01:26:12 UTC,-1,0.51,0.00,6.31,0.00,0.00,0.00,1.01,0.00,0.00,92.17
raspberrypi,1,2020-07-25 01:26:13 UTC,-1,1.29,0.00,4.90,0.00,0.00,0.00,0.00,0.00,0.00,93.81
raspberrypi,1,2020-07-25 01:26:14 UTC,-1,0.79,0.00,4.99,0.00,0.00,0.00,0.26,0.00,0.00,93.96
raspberrypi,1,2020-07-25 01:26:15 UTC,-1,2.36,0.00,3.94,0.00,0.00,0.00,0.79,0.00,0.00,92.91
raspberrypi,1,2020-07-25 01:26:16 UTC,-1,0.80,0.00,1.33,0.27,0.00,0.00,0.53,0.00,0.00,97.07
raspberrypi,1,2020-07-25 01:26:17 UTC,-1,1.07,0.00,1.33,0.00,0.00,0.00,0.27,0.00,0.00,97.33
